序号,目录,说明,图片路径,来源站点,待核原因,核实状态
177,"ethnic","cover2","/images/ethnic/dai/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
178,"ethnic","达斡尔族 · 配图","/images/ethnic/dawoer/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
179,"ethnic","cover2","/images/ethnic/dawoer/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
180,"ethnic","德昂族 · 配图","/images/ethnic/deang/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
181,"ethnic","cover2","/images/ethnic/deang/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
182,"ethnic","侗族、吃新节 等 · 配图","/images/ethnic/dong/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
183,"ethnic","cover2","/images/ethnic/dong/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
184,"ethnic","东乡族 · 配图","/images/ethnic/dongxiang/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
185,"ethnic","cover2","/images/ethnic/dongxiang/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
186,"ethnic","独龙族、祭山神 等 · 配图","/images/ethnic/dulong/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
187,"ethnic","cover2","/images/ethnic/dulong/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
188,"ethnic","鄂伦春族、古伦木沓节 等 · 配图","/images/ethnic/elunchun/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
189,"ethnic","cover2","/images/ethnic/elunchun/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
190,"ethnic","俄罗斯族 · 配图","/images/ethnic/eluosi/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
191,"ethnic","cover2","/images/ethnic/eluosi/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
192,"ethnic","鄂温克族 · 配图","/images/ethnic/ewenke/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
193,"ethnic","cover2","/images/ethnic/ewenke/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
194,"ethnic","高山族、矮灵祭 等 · 配图","/images/ethnic/gaoshan/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
195,"ethnic","cover2","/images/ethnic/gaoshan/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
196,"ethnic","仡佬族 · 配图","/images/ethnic/gelaolao/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
197,"ethnic","汉族、清明节 等 · 配图","/images/ethnic/han/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
198,"ethnic","cover2","/images/ethnic/han/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
199,"ethnic","哈尼族、新米节 等 · 配图","/images/ethnic/hani/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
200,"ethnic","cover2","/images/ethnic/hani/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
201,"ethnic","哈萨克族 · 配图","/images/ethnic/hasake/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
202,"ethnic","cover2","/images/ethnic/hasake/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
203,"ethnic","赫哲族 · 配图","/images/ethnic/hezhe/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
204,"ethnic","cover2","/images/ethnic/hezhe/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
205,"ethnic","回族、盖德尔夜 等 · 配图","/images/ethnic/hui/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
206,"ethnic","cover2","/images/ethnic/hui/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
207,"ethnic","京族 · 配图","/images/ethnic/jing/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
208,"ethnic","cover2","/images/ethnic/jing/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
209,"ethnic","景颇族 · 配图","/images/ethnic/jingpo/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
210,"ethnic","cover2","/images/ethnic/jingpo/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
211,"ethnic","基诺族 · 配图","/images/ethnic/jinuo/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
212,"ethnic","cover2","/images/ethnic/jinuo/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
213,"ethnic","柯尔克孜族 · 配图","/images/ethnic/keerkezi/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
214,"ethnic","cover2","/images/ethnic/keerkezi/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
215,"ethnic","拉祜族 · 配图","/images/ethnic/lahu/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
216,"ethnic","cover2","/images/ethnic/lahu/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
217,"ethnic","黎族、牛节 等 · 配图","/images/ethnic/li/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
218,"ethnic","cover2","/images/ethnic/li/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
219,"ethnic","傈僳族 · 配图","/images/ethnic/lisu/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
220,"ethnic","cover2","/images/ethnic/lisu/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
221,"ethnic","珞巴族 · 配图","/images/ethnic/luoba/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
222,"ethnic","满族、中元节 等 · 配图","/images/ethnic/manchu/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
223,"ethnic","cover2","/images/ethnic/manchu/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
224,"ethnic","毛南族 · 配图","/images/ethnic/maonan/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
225,"ethnic","cover2","/images/ethnic/maonan/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
226,"ethnic","门巴族 · 配图","/images/ethnic/menba/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
227,"ethnic","cover2","/images/ethnic/menba/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
228,"ethnic","苗族、芦笙节 等 · 配图","/images/ethnic/miao/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
229,"ethnic","cover2","/images/ethnic/miao/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
230,"ethnic","蒙古族、白节 等 · 配图","/images/ethnic/mongolian/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
231,"ethnic","cover2","/images/ethnic/mongolian/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
232,"ethnic","仫佬族、依饭还愿 等 · 配图","/images/ethnic/mulao/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
233,"ethnic","cover2","/images/ethnic/mulao/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
234,"ethnic","纳西族、二月八 等 · 配图","/images/ethnic/naxi/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
235,"ethnic","cover2","/images/ethnic/naxi/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
236,"ethnic","怒族 · 配图","/images/ethnic/nu/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
237,"ethnic","cover2","/images/ethnic/nu/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
238,"ethnic","普米族 · 配图","/images/ethnic/pumi/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
239,"ethnic","cover2","/images/ethnic/pumi/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
240,"ethnic","羌族 · 配图","/images/ethnic/qiang/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
241,"ethnic","cover2","/images/ethnic/qiang/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
242,"ethnic","撒拉族 · 配图","/images/ethnic/sala/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
243,"ethnic","cover2","/images/ethnic/sala/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
244,"ethnic","畲族 · 配图","/images/ethnic/she/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
245,"ethnic","cover2","/images/ethnic/she/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
246,"ethnic","水族 · 配图","/images/ethnic/shui/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
247,"ethnic","cover2","/images/ethnic/shui/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
248,"ethnic","塔吉克族 · 配图","/images/ethnic/tajike/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
249,"ethnic","cover2","/images/ethnic/tajike/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
250,"ethnic","塔塔尔族 · 配图","/images/ethnic/tataer/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
251,"ethnic","cover2","/images/ethnic/tataer/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
252,"ethnic","藏族、燃灯节 等 · 配图","/images/ethnic/tibetan/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
253,"ethnic","cover2","/images/ethnic/tibetan/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
254,"ethnic","土族 · 配图","/images/ethnic/tu/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
255,"ethnic","cover2","/images/ethnic/tu/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
256,"ethnic","土家族、牛王节 等 · 配图","/images/ethnic/tujia/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
257,"ethnic","cover2","/images/ethnic/tujia/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
258,"ethnic","维吾尔族、都瓦节 等 · 配图","/images/ethnic/uyghur/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
259,"ethnic","cover2","/images/ethnic/uyghur/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
260,"ethnic","佤族 · 配图","/images/ethnic/wa/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
261,"ethnic","cover2","/images/ethnic/wa/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
262,"ethnic","乌孜别克族 · 配图","/images/ethnic/wuzibieke/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
263,"ethnic","cover2","/images/ethnic/wuzibieke/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
264,"ethnic","锡伯族 · 配图","/images/ethnic/xibo/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
265,"ethnic","cover2","/images/ethnic/xibo/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
266,"ethnic","瑶族、耍歌堂 等 · 配图","/images/ethnic/yao/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
267,"ethnic","cover2","/images/ethnic/yao/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
268,"ethnic","彝族、密枝节 等 · 配图","/images/ethnic/yi/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
269,"ethnic","cover2","/images/ethnic/yi/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
270,"ethnic","裕固族 · 配图","/images/ethnic/yugu/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
271,"ethnic","cover2","/images/ethnic/yugu/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
272,"ethnic","壮族、牛魂节 等 · 配图","/images/ethnic/zhuang/cover.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
273,"ethnic","cover2","/images/ethnic/zhuang/cover2.webp","Wikimedia Commons（待核）","原采集自 Wikimedia Commons 民族分类（自由许可），但原始文件名与许可信息已丢失，需用反向图片搜索逐张核对来源页。","unverified"
274,"festival","阿露窝罗节 · 配图","/images/festival/alu-woluo-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
275,"festival","昂德林节 · 配图","/images/festival/angdelin-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
276,"festival","昂玛突 · 配图","/images/festival/angmatu-sacrificing-to-village-god-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
277,"festival","阿涅 · 配图","/images/festival/anie-daur-spring-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
278,"festival","四月大会 · 配图","/images/festival/april-assembly-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
279,"festival","棒棒会 · 配图","/images/festival/bangbang-fair-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
280,"festival","颁金节 · 配图","/images/festival/banjin-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
281,"festival","篝火节 · 配图","/images/festival/bonfire-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
282,"festival","查白歌节 · 配图","/images/festival/chabai-song-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
283,"festival","肖贡巴哈尔节 · 配图","/images/festival/chagan-baha-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
284,"festival","圣诞节 · 配图","/images/festival/christmas-orthodox-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
285,"festival","秋夕节 · 配图","/images/festival/chuseok-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
286,"festival","关门节 · 配图","/images/festival/closing-festival-khao-phansa-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
287,"festival","赛装节 · 配图","/images/festival/costume-contest-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
288,"festival","赕佛节 · 配图","/images/festival/danfo-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
289,"festival","达努节 · 配图","/images/festival/danu-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
290,"festival","大十五节 · 配图","/images/festival/dashi-wu-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
291,"festival","女儿会 · 配图","/images/festival/daughters-fair-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
292,"festival","鹿神节 · 配图","/images/festival/deer-god-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
293,"festival","侗年 · 配图","/images/festival/dong-new-year-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
294,"festival","dragon-boat-festival-1","/images/festival/dragon-boat-festival-1.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
295,"festival","端午节 · 配图","/images/festival/dragon-boat-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
296,"festival","二月二 · 配图","/images/festival/dragon-head-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
297,"festival","端节 · 配图","/images/festival/duan-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
298,"festival","复活节 · 配图","/images/festival/easter-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
299,"festival","吃新节 · 配图","/images/festival/eating-new-rice-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
300,"festival","古尔邦节 · 配图","/images/festival/eid-al-adha-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
301,"festival","eid-al-fitr-3","/images/festival/eid-al-fitr-3.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
302,"festival","开斋节、肉孜节 等 · 配图","/images/festival/eid-al-fitr-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
303,"festival","洗礼节 · 配图","/images/festival/epiphany-baptism-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
304,"festival","仙女节 · 配图","/images/festival/fairy-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
305,"festival","分龙节 · 配图","/images/festival/fenlong-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
306,"festival","正月大会 · 配图","/images/festival/first-month-assembly-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
307,"festival","祭山林节 · 配图","/images/festival/forest-worship-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
308,"festival","蚂拐节 · 配图","/images/festival/frog-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
309,"festival","霜降节 · 配图","/images/festival/frost-descent-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
310,"festival","京族春节 · 配图","/images/festival/gin-spring-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
311,"festival","葫芦节 · 配图","/images/festival/gourd-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
312,"festival","观经会 · 配图","/images/festival/guanjing-fair-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
313,"festival","哈节 · 配图","/images/festival/ha-festival-u.webp","来源待核","节日专属封面；采集时的具体来源未记录在案，需核对。","unverified"
